Epoch: [0][0/54]	Time 2.935 (2.935)	Data 1.623 (1.623)	Loss 1.5966 (1.5966)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)	
Epoch: [0][10/54]	Time 3.661 (3.264)	Data 3.644 (3.123)	Loss 1.6010 (1.5912)	Prec@1 25.000 (18.182)	Prec@5 25.000 (18.182)	
Epoch: [0][20/54]	Time 4.565 (3.693)	Data 4.548 (3.612)	Loss 1.5259 (1.5779)	Prec@1 50.000 (26.786)	Prec@5 50.000 (26.786)	
Epoch: [0][30/54]	Time 5.502 (4.142)	Data 5.486 (4.082)	Loss 1.4580 (1.5511)	Prec@1 50.000 (33.065)	Prec@5 50.000 (33.065)	
Epoch: [0][40/54]	Time 6.358 (4.587)	Data 6.342 (4.537)	Loss 1.3029 (1.5108)	Prec@1 50.000 (36.585)	Prec@5 50.000 (36.585)	
Epoch: [0][50/54]	Time 7.246 (5.032)	Data 7.231 (4.989)	Loss 0.9036 (1.4309)	Prec@1 50.000 (38.971)	Prec@5 50.000 (38.971)	
Epoch: [1][0/54]	Time 1.633 (1.633)	Data 1.614 (1.614)	Loss 0.7600 (0.7600)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)	
Epoch: [1][0/54]	Time 1.633 (1.633)	Data 1.614 (1.614)	Loss 0.7600 (0.7600)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)	
Epoch: [1][10/54]	Time 2.121 (1.892)	Data 2.093 (1.865)	Loss 0.7178 (0.7392)	Prec@1 62.500 (46.591)	Prec@5 62.500 (46.591)	
Epoch: [1][10/54]	Time 2.121 (1.892)	Data 2.093 (1.865)	Loss 0.7178 (0.7392)	Prec@1 62.500 (46.591)	Prec@5 62.500 (46.591)	
Epoch: [1][20/54]	Time 2.589 (2.116)	Data 2.573 (2.091)	Loss 0.7015 (0.7325)	Prec@1 62.500 (50.000)	Prec@5 62.500 (50.000)	
Epoch: [1][20/54]	Time 2.589 (2.116)	Data 2.573 (2.091)	Loss 0.7015 (0.7325)	Prec@1 62.500 (50.000)	Prec@5 62.500 (50.000)	
Epoch: [1][30/54]	Time 3.031 (2.346)	Data 2.993 (2.320)	Loss 0.6986 (0.7253)	Prec@1 62.500 (51.613)	Prec@5 62.500 (51.613)	
Epoch: [1][30/54]	Time 3.031 (2.346)	Data 2.993 (2.320)	Loss 0.6986 (0.7253)	Prec@1 62.500 (51.613)	Prec@5 62.500 (51.613)	
Epoch: [1][40/54]	Time 3.498 (2.574)	Data 3.480 (2.546)	Loss 0.7094 (0.7232)	Prec@1 62.500 (51.524)	Prec@5 62.500 (51.524)	
Epoch: [1][40/54]	Time 3.498 (2.574)	Data 3.480 (2.546)	Loss 0.7094 (0.7232)	Prec@1 62.500 (51.524)	Prec@5 62.500 (51.524)	
Epoch: [1][50/54]	Time 3.951 (2.803)	Data 3.935 (2.776)	Loss 0.6744 (0.7198)	Prec@1 75.000 (52.696)	Prec@5 75.000 (52.696)	
Epoch: [1][50/54]	Time 3.951 (2.803)	Data 3.935 (2.776)	Loss 0.6744 (0.7198)	Prec@1 75.000 (52.696)	Prec@5 75.000 (52.696)	
Epoch: [2][0/54]	Time 1.589 (1.589)	Data 1.570 (1.570)	Loss 0.6739 (0.6739)	Prec@1 62.500 (62.500)	Prec@5 62.500 (62.500)	
Epoch: [2][0/54]	Time 1.589 (1.589)	Data 1.570 (1.570)	Loss 0.6739 (0.6739)	Prec@1 62.500 (62.500)	Prec@5 62.500 (62.500)	
Epoch: [2][0/54]	Time 1.589 (1.589)	Data 1.570 (1.570)	Loss 0.6739 (0.6739)	Prec@1 62.500 (62.500)	Prec@5 62.500 (62.500)	
Epoch: [2][10/54]	Time 2.084 (1.854)	Data 2.042 (1.812)	Loss 0.7152 (0.6966)	Prec@1 50.000 (55.682)	Prec@5 50.000 (55.682)	
Epoch: [2][10/54]	Time 2.084 (1.854)	Data 2.042 (1.812)	Loss 0.7152 (0.6966)	Prec@1 50.000 (55.682)	Prec@5 50.000 (55.682)	
Epoch: [2][10/54]	Time 2.084 (1.854)	Data 2.042 (1.812)	Loss 0.7152 (0.6966)	Prec@1 50.000 (55.682)	Prec@5 50.000 (55.682)	
Epoch: [2][20/54]	Time 2.564 (2.092)	Data 2.543 (2.061)	Loss 0.7320 (0.6988)	Prec@1 37.500 (55.357)	Prec@5 37.500 (55.357)	
Epoch: [2][20/54]	Time 2.564 (2.092)	Data 2.543 (2.061)	Loss 0.7320 (0.6988)	Prec@1 37.500 (55.357)	Prec@5 37.500 (55.357)	
Epoch: [2][20/54]	Time 2.564 (2.092)	Data 2.543 (2.061)	Loss 0.7320 (0.6988)	Prec@1 37.500 (55.357)	Prec@5 37.500 (55.357)	
Epoch: [2][30/54]	Time 2.995 (2.321)	Data 2.952 (2.289)	Loss 0.7419 (0.6982)	Prec@1 37.500 (54.839)	Prec@5 37.500 (54.839)	
Epoch: [2][30/54]	Time 2.995 (2.321)	Data 2.952 (2.289)	Loss 0.7419 (0.6982)	Prec@1 37.500 (54.839)	Prec@5 37.500 (54.839)	
Epoch: [2][30/54]	Time 2.995 (2.321)	Data 2.952 (2.289)	Loss 0.7419 (0.6982)	Prec@1 37.500 (54.839)	Prec@5 37.500 (54.839)	
Epoch: [2][40/54]	Time 3.445 (2.548)	Data 3.407 (2.517)	Loss 0.6551 (0.6954)	Prec@1 75.000 (56.707)	Prec@5 75.000 (56.707)	
Epoch: [2][40/54]	Time 3.445 (2.548)	Data 3.407 (2.517)	Loss 0.6551 (0.6954)	Prec@1 75.000 (56.707)	Prec@5 75.000 (56.707)	
Epoch: [2][40/54]	Time 3.445 (2.548)	Data 3.407 (2.517)	Loss 0.6551 (0.6954)	Prec@1 75.000 (56.707)	Prec@5 75.000 (56.707)	
Epoch: [2][50/54]	Time 3.907 (2.775)	Data 3.875 (2.745)	Loss 0.6576 (0.7001)	Prec@1 75.000 (54.657)	Prec@5 75.000 (54.657)	
Epoch: [2][50/54]	Time 3.907 (2.775)	Data 3.875 (2.745)	Loss 0.6576 (0.7001)	Prec@1 75.000 (54.657)	Prec@5 75.000 (54.657)	
Epoch: [2][50/54]	Time 3.907 (2.775)	Data 3.875 (2.745)	Loss 0.6576 (0.7001)	Prec@1 75.000 (54.657)	Prec@5 75.000 (54.657)	
Epoch: [3][0/54]	Time 1.601 (1.601)	Data 1.582 (1.582)	Loss 0.6965 (0.6965)	Prec@1 62.500 (62.500)	Prec@5 62.500 (62.500)	
