Epoch: [0][0/9202]	Time 3.778 (3.778)	Data 2.351 (2.351)	Loss 1.6473 (1.6473)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)	
Epoch: [0][10/9202]	Time 5.806 (4.797)	Data 5.606 (4.498)	Loss 1.5420 (1.5857)	Prec@1 100.000 (37.500)	Prec@5 100.000 (37.500)	
Epoch: [0][20/9202]	Time 7.833 (5.808)	Data 7.632 (5.563)	Loss 1.3229 (1.5161)	Prec@1 75.000 (56.548)	Prec@5 75.000 (56.548)	
Epoch: [0][30/9202]	Time 9.866 (6.823)	Data 9.665 (6.597)	Loss 0.6087 (1.3932)	Prec@1 87.500 (58.871)	Prec@5 87.500 (58.871)	
Epoch: [0][40/9202]	Time 11.897 (7.838)	Data 11.696 (7.621)	Loss 0.7334 (1.2187)	Prec@1 62.500 (62.805)	Prec@5 62.500 (62.805)	
Epoch: [0][50/9202]	Time 13.936 (8.855)	Data 13.735 (8.644)	Loss 0.6902 (1.1326)	Prec@1 62.500 (59.314)	Prec@5 62.500 (59.314)	
Epoch: [0][60/9202]	Time 15.971 (9.872)	Data 15.770 (9.665)	Loss 0.6749 (1.0619)	Prec@1 62.500 (59.016)	Prec@5 62.500 (59.016)	
Epoch: [0][70/9202]	Time 18.009 (10.889)	Data 17.807 (10.685)	Loss 0.4740 (1.0009)	Prec@1 87.500 (60.211)	Prec@5 87.500 (60.211)	
Epoch: [0][80/9202]	Time 20.052 (11.907)	Data 19.850 (11.705)	Loss 0.5541 (0.9550)	Prec@1 75.000 (61.111)	Prec@5 75.000 (61.111)	
Epoch: [0][90/9202]	Time 22.101 (12.926)	Data 21.899 (12.726)	Loss 0.4617 (0.9148)	Prec@1 87.500 (62.363)	Prec@5 87.500 (62.363)	
Epoch: [0][100/9202]	Time 24.150 (13.946)	Data 23.947 (13.747)	Loss 0.5473 (0.8857)	Prec@1 75.000 (62.871)	Prec@5 75.000 (62.871)	
Epoch: [0][110/9202]	Time 26.203 (14.967)	Data 25.998 (14.769)	Loss 0.9961 (0.8723)	Prec@1 50.000 (61.712)	Prec@5 50.000 (61.712)	
Epoch: [0][120/9202]	Time 28.258 (15.989)	Data 28.054 (15.792)	Loss 0.4041 (0.8490)	Prec@1 100.000 (62.913)	Prec@5 100.000 (62.913)	
Epoch: [0][130/9202]	Time 30.313 (17.012)	Data 30.109 (16.815)	Loss 0.5756 (0.8308)	Prec@1 75.000 (63.359)	Prec@5 75.000 (63.359)	
Epoch: [0][140/9202]	Time 32.369 (18.036)	Data 32.166 (17.840)	Loss 0.6065 (0.8164)	Prec@1 62.500 (63.209)	Prec@5 62.500 (63.209)	
Epoch: [0][150/9202]	Time 34.429 (19.060)	Data 34.225 (18.864)	Loss 0.6938 (0.8026)	Prec@1 75.000 (63.576)	Prec@5 75.000 (63.576)	
Epoch: [0][160/9202]	Time 36.489 (20.085)	Data 36.285 (19.890)	Loss 0.2583 (0.7859)	Prec@1 87.500 (64.286)	Prec@5 87.500 (64.286)	
Epoch: [0][170/9202]	Time 38.551 (21.111)	Data 38.346 (20.916)	Loss 0.4303 (0.7709)	Prec@1 75.000 (64.912)	Prec@5 75.000 (64.912)	
Epoch: [0][180/9202]	Time 40.615 (22.137)	Data 40.410 (21.942)	Loss 0.4169 (0.7642)	Prec@1 87.500 (64.641)	Prec@5 87.500 (64.641)	
Epoch: [0][190/9202]	Time 42.681 (23.164)	Data 42.477 (22.970)	Loss 0.4190 (0.7552)	Prec@1 87.500 (64.921)	Prec@5 87.500 (64.921)	
Epoch: [0][200/9202]	Time 44.753 (24.192)	Data 44.547 (23.998)	Loss 0.5405 (0.7451)	Prec@1 62.500 (65.050)	Prec@5 62.500 (65.050)	
Epoch: [0][210/9202]	Time 46.823 (25.220)	Data 46.619 (25.026)	Loss 0.6841 (0.7319)	Prec@1 62.500 (65.699)	Prec@5 62.500 (65.699)	
Epoch: [0][220/9202]	Time 48.897 (26.250)	Data 48.692 (26.056)	Loss 0.8669 (0.7305)	Prec@1 62.500 (65.837)	Prec@5 62.500 (65.837)	
Epoch: [0][230/9202]	Time 50.978 (27.280)	Data 50.772 (27.086)	Loss 0.6835 (0.7316)	Prec@1 87.500 (65.855)	Prec@5 87.500 (65.855)	
Epoch: [0][240/9202]	Time 53.056 (28.310)	Data 52.850 (28.117)	Loss 0.5599 (0.7311)	Prec@1 87.500 (65.560)	Prec@5 87.500 (65.560)	
Epoch: [0][250/9202]	Time 55.137 (29.342)	Data 54.931 (29.148)	Loss 0.5459 (0.7230)	Prec@1 75.000 (65.936)	Prec@5 75.000 (65.936)	
Epoch: [0][260/9202]	Time 57.219 (30.374)	Data 57.013 (30.181)	Loss 0.5185 (0.7183)	Prec@1 87.500 (66.092)	Prec@5 87.500 (66.092)	
