Epoch: [0][0/54]	Time 2.865 (2.865)	Data 1.609 (1.609)	Loss 7.0924 (7.0924)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)	
Epoch: [0][10/54]	Time 3.254 (3.069)	Data 3.224 (2.922)	Loss 1.4866 (4.5544)	Prec@1 62.500 (36.364)	Prec@5 62.500 (36.364)	
Epoch: [0][20/54]	Time 3.688 (3.263)	Data 3.670 (3.177)	Loss 0.6908 (2.7244)	Prec@1 50.000 (49.405)	Prec@5 50.000 (49.405)	
Epoch: [0][30/54]	Time 4.077 (3.472)	Data 4.058 (3.408)	Loss 0.7247 (2.0776)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)	
Epoch: [0][40/54]	Time 4.544 (3.680)	Data 4.525 (3.626)	Loss 0.6711 (1.7253)	Prec@1 50.000 (53.659)	Prec@5 50.000 (53.659)	
Epoch: [0][50/54]	Time 5.082 (3.910)	Data 5.063 (3.863)	Loss 0.5659 (1.5134)	Prec@1 75.000 (55.147)	Prec@5 75.000 (55.147)	
Epoch: [1][0/54]	Time 1.603 (1.603)	Data 1.578 (1.578)	Loss 0.8277 (0.8277)	Prec@1 62.500 (62.500)	Prec@5 62.500 (62.500)	
Epoch: [1][0/54]	Time 1.603 (1.603)	Data 1.578 (1.578)	Loss 0.8277 (0.8277)	Prec@1 62.500 (62.500)	Prec@5 62.500 (62.500)	
Epoch: [1][10/54]	Time 1.996 (1.813)	Data 1.976 (1.785)	Loss 0.5646 (0.7367)	Prec@1 75.000 (59.091)	Prec@5 75.000 (59.091)	
Epoch: [1][10/54]	Time 1.996 (1.813)	Data 1.976 (1.785)	Loss 0.5646 (0.7367)	Prec@1 75.000 (59.091)	Prec@5 75.000 (59.091)	
Epoch: [1][20/54]	Time 2.460 (2.023)	Data 2.441 (1.999)	Loss 0.6058 (0.6989)	Prec@1 62.500 (61.905)	Prec@5 62.500 (61.905)	
Epoch: [1][20/54]	Time 2.460 (2.023)	Data 2.441 (1.999)	Loss 0.6058 (0.6989)	Prec@1 62.500 (61.905)	Prec@5 62.500 (61.905)	
Epoch: [1][30/54]	Time 2.842 (2.230)	Data 2.822 (2.207)	Loss 0.5163 (0.6697)	Prec@1 87.500 (63.710)	Prec@5 87.500 (63.710)	
Epoch: [1][30/54]	Time 2.842 (2.230)	Data 2.822 (2.207)	Loss 0.5163 (0.6697)	Prec@1 87.500 (63.710)	Prec@5 87.500 (63.710)	
Epoch: [1][40/54]	Time 3.415 (2.457)	Data 3.397 (2.436)	Loss 0.4694 (0.6592)	Prec@1 75.000 (65.244)	Prec@5 75.000 (65.244)	
Epoch: [1][40/54]	Time 3.415 (2.457)	Data 3.397 (2.436)	Loss 0.4694 (0.6592)	Prec@1 75.000 (65.244)	Prec@5 75.000 (65.244)	
Epoch: [1][50/54]	Time 3.923 (2.705)	Data 3.905 (2.684)	Loss 0.5828 (0.6474)	Prec@1 75.000 (65.196)	Prec@5 75.000 (65.196)	
Epoch: [1][50/54]	Time 3.923 (2.705)	Data 3.905 (2.684)	Loss 0.5828 (0.6474)	Prec@1 75.000 (65.196)	Prec@5 75.000 (65.196)	
Epoch: [2][0/54]	Time 1.589 (1.589)	Data 1.566 (1.566)	Loss 0.5381 (0.5381)	Prec@1 75.000 (75.000)	Prec@5 75.000 (75.000)	
Epoch: [2][0/54]	Time 1.589 (1.589)	Data 1.566 (1.566)	Loss 0.5381 (0.5381)	Prec@1 75.000 (75.000)	Prec@5 75.000 (75.000)	
Epoch: [2][0/54]	Time 1.589 (1.589)	Data 1.566 (1.566)	Loss 0.5381 (0.5381)	Prec@1 75.000 (75.000)	Prec@5 75.000 (75.000)	
Epoch: [2][10/54]	Time 1.996 (1.803)	Data 1.978 (1.770)	Loss 0.5924 (0.6254)	Prec@1 75.000 (65.909)	Prec@5 75.000 (65.909)	
Epoch: [2][10/54]	Time 1.996 (1.803)	Data 1.978 (1.770)	Loss 0.5924 (0.6254)	Prec@1 75.000 (65.909)	Prec@5 75.000 (65.909)	
Epoch: [2][10/54]	Time 1.996 (1.803)	Data 1.978 (1.770)	Loss 0.5924 (0.6254)	Prec@1 75.000 (65.909)	Prec@5 75.000 (65.909)	
Epoch: [2][20/54]	Time 2.474 (2.025)	Data 2.455 (1.999)	Loss 0.6763 (0.6236)	Prec@1 62.500 (66.071)	Prec@5 62.500 (66.071)	
Epoch: [2][20/54]	Time 2.474 (2.025)	Data 2.455 (1.999)	Loss 0.6763 (0.6236)	Prec@1 62.500 (66.071)	Prec@5 62.500 (66.071)	
Epoch: [2][20/54]	Time 2.474 (2.025)	Data 2.455 (1.999)	Loss 0.6763 (0.6236)	Prec@1 62.500 (66.071)	Prec@5 62.500 (66.071)	
Epoch: [2][30/54]	Time 2.955 (2.257)	Data 2.936 (2.234)	Loss 0.5883 (0.6054)	Prec@1 75.000 (67.339)	Prec@5 75.000 (67.339)	
Epoch: [2][30/54]	Time 2.955 (2.257)	Data 2.936 (2.234)	Loss 0.5883 (0.6054)	Prec@1 75.000 (67.339)	Prec@5 75.000 (67.339)	
Epoch: [2][30/54]	Time 2.955 (2.257)	Data 2.936 (2.234)	Loss 0.5883 (0.6054)	Prec@1 75.000 (67.339)	Prec@5 75.000 (67.339)	
Epoch: [2][40/54]	Time 3.516 (2.491)	Data 3.498 (2.468)	Loss 0.7125 (0.6219)	Prec@1 50.000 (66.159)	Prec@5 50.000 (66.159)	
Epoch: [2][40/54]	Time 3.516 (2.491)	Data 3.498 (2.468)	Loss 0.7125 (0.6219)	Prec@1 50.000 (66.159)	Prec@5 50.000 (66.159)	
Epoch: [2][40/54]	Time 3.516 (2.491)	Data 3.498 (2.468)	Loss 0.7125 (0.6219)	Prec@1 50.000 (66.159)	Prec@5 50.000 (66.159)	
Epoch: [2][50/54]	Time 3.924 (2.736)	Data 3.906 (2.715)	Loss 0.6420 (0.6127)	Prec@1 37.500 (66.667)	Prec@5 37.500 (66.667)	
Epoch: [2][50/54]	Time 3.924 (2.736)	Data 3.906 (2.715)	Loss 0.6420 (0.6127)	Prec@1 37.500 (66.667)	Prec@5 37.500 (66.667)	
Epoch: [2][50/54]	Time 3.924 (2.736)	Data 3.906 (2.715)	Loss 0.6420 (0.6127)	Prec@1 37.500 (66.667)	Prec@5 37.500 (66.667)	
Epoch: [3][0/54]	Time 1.600 (1.600)	Data 1.576 (1.576)	Loss 0.7295 (0.7295)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)	
Epoch: [3][0/54]	Time 1.600 (1.600)	Data 1.576 (1.576)	Loss 0.7295 (0.7295)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)	
