Epoch: [0][0/178]	Time 2.939 (2.939)	Data 1.625 (1.625)	Loss 7.0087 (7.0087)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)	
Epoch: [0][10/178]	Time 3.339 (3.154)	Data 3.306 (3.001)	Loss 1.3327 (4.5874)	Prec@1 50.000 (27.273)	Prec@5 50.000 (27.273)	
Epoch: [0][20/178]	Time 3.745 (3.346)	Data 3.725 (3.256)	Loss 0.5768 (2.7593)	Prec@1 87.500 (37.500)	Prec@5 87.500 (37.500)	
Epoch: [0][30/178]	Time 4.142 (3.544)	Data 4.122 (3.477)	Loss 0.5389 (2.1087)	Prec@1 75.000 (43.145)	Prec@5 75.000 (43.145)	
Epoch: [0][40/178]	Time 4.598 (3.750)	Data 4.579 (3.695)	Loss 0.4964 (1.7569)	Prec@1 87.500 (46.951)	Prec@5 87.500 (46.951)	
Epoch: [0][50/178]	Time 5.039 (3.964)	Data 5.020 (3.915)	Loss 0.4019 (1.5282)	Prec@1 87.500 (51.225)	Prec@5 87.500 (51.225)	
Epoch: [0][60/178]	Time 5.472 (4.179)	Data 5.447 (4.135)	Loss 0.6577 (1.3786)	Prec@1 50.000 (52.869)	Prec@5 50.000 (52.869)	
Epoch: [0][70/178]	Time 5.921 (4.397)	Data 5.901 (4.356)	Loss 0.3274 (1.2900)	Prec@1 87.500 (53.873)	Prec@5 87.500 (53.873)	
Epoch: [0][80/178]	Time 6.336 (4.613)	Data 6.317 (4.575)	Loss 1.1179 (1.2104)	Prec@1 50.000 (55.710)	Prec@5 50.000 (55.710)	
Epoch: [0][90/178]	Time 6.787 (4.830)	Data 6.768 (4.794)	Loss 0.1365 (1.1361)	Prec@1 100.000 (57.830)	Prec@5 100.000 (57.830)	
Epoch: [0][100/178]	Time 7.229 (5.046)	Data 7.210 (5.012)	Loss 0.7148 (1.0870)	Prec@1 62.500 (58.911)	Prec@5 62.500 (58.911)	
Epoch: [0][110/178]	Time 7.661 (5.265)	Data 7.642 (5.232)	Loss 0.6037 (1.0454)	Prec@1 75.000 (60.586)	Prec@5 75.000 (60.586)	
Epoch: [0][120/178]	Time 8.083 (5.482)	Data 8.064 (5.450)	Loss 0.5114 (1.0145)	Prec@1 87.500 (61.674)	Prec@5 87.500 (61.674)	
